source,target,interactions,movie
R2-D2,C-3PO,31,Episode 4
BIGGS,LUKE,2,Episode 4
BIGGS,CAMIE,1,Episode 4
LUKE,CAMIE,1,Episode 4
CAMIE,LUKE,1,Episode 4
CAMIE,BIGGS,1,Episode 4
LUKE,BIGGS,2,Episode 4
DARTH VADER,LEIA,1,Episode 4
R2-D2,BERU,2,Episode 4
R2-D2,LUKE,21,Episode 4
R2-D2,OWEN,1,Episode 4
BERU,LUKE,3,Episode 4
BERU,OWEN,3,Episode 4
BERU,C-3PO,2,Episode 4
LUKE,OWEN,3,Episode 4
LUKE,C-3PO,18,Episode 4
OWEN,C-3PO,1,Episode 4
R2-D2,LEIA,7,Episode 4
LEIA,BERU,1,Episode 4
LEIA,LUKE,17,Episode 4
LEIA,C-3PO,6,Episode 4
C-3PO,OWEN,1,Episode 4
R2-D2,OBI-WAN,8,Episode 4
OBI-WAN,LUKE,17,Episode 4
LUKE,OBI-WAN,2,Episode 4
OBI-WAN,C-3PO,6,Episode 4
OBI-WAN,LEIA,1,Episode 4
DARTH VADER,TARKIN,7,Episode 4
DARTH VADER,MOTTI,1,Episode 4
TARKIN,MOTTI,1,Episode 4
OBI-WAN,CHEWBACCA,9,Episode 4
LUKE,CHEWBACCA,20,Episode 4
CHEWBACCA,C-3PO,5,Episode 4
HAN,OBI-WAN,9,Episode 4
HAN,LUKE,26,Episode 4
HAN,CHEWBACCA,27,Episode 4
HAN,GREEDO,1,Episode 4
HAN,JABBA,1,Episode 4
JABBA,CHEWBACCA,1,Episode 4
HAN,C-3PO,6,Episode 4
C-3PO,CHEWBACCA,1,Episode 4
HAN,R2-D2,8,Episode 4
LEIA,MOTTI,1,Episode 4
LEIA,TARKIN,1,Episode 4
MOTTI,TARKIN,1,Episode 4
R2-D2,CHEWBACCA,7,Episode 4
CHEWBACCA,LUKE,6,Episode 4
HAN,LEIA,13,Episode 4
LEIA,CHEWBACCA,13,Episode 4
DARTH VADER,OBI-WAN,1,Episode 4
WEDGE,R2-D2,1,Episode 4
WEDGE,CHEWBACCA,1,Episode 4
WEDGE,LUKE,2,Episode 4
WEDGE,GOLD LEADER,1,Episode 4
WEDGE,DODONNA,1,Episode 4
R2-D2,GOLD LEADER,1,Episode 4
R2-D2,DODONNA,1,Episode 4
CHEWBACCA,GOLD LEADER,1,Episode 4
CHEWBACCA,DODONNA,1,Episode 4
LUKE,GOLD LEADER,1,Episode 4
LUKE,DODONNA,1,Episode 4
GOLD LEADER,DODONNA,1,Episode 4
BIGGS,R2-D2,1,Episode 4
BIGGS,LEIA,1,Episode 4
BIGGS,RED LEADER,1,Episode 4
BIGGS,C-3PO,1,Episode 4
R2-D2,RED LEADER,1,Episode 4
LEIA,RED LEADER,1,Episode 4
RED LEADER,LUKE,3,Episode 4
RED LEADER,C-3PO,1,Episode 4
WEDGE,RED LEADER,3,Episode 4
GOLD LEADER,RED LEADER,1,Episode 4
RED LEADER,BIGGS,2,Episode 4
WEDGE,BIGGS,2,Episode 4
RED LEADER,RED TEN,1,Episode 4
GOLD LEADER,BIGGS,1,Episode 4
LUKE,RED TEN,1,Episode 4
